City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
178,Port Alfred,ZA,-33.5906,26.891,67.98,91,100,11.41,moderate rain
179,Chuy,UY,-33.6971,-53.4616,57.25,96,45,6.53,scattered clouds
180,Mazara Del Vallo,IT,37.6641,12.588,70.9,84,2,10.85,clear sky
181,Santa Cruz Cabralia,BR,-16.2781,-39.0247,77.23,78,40,8.05,scattered clouds
182,Khani,GE,41.9563,42.9566,35.17,86,67,3.65,broken clouds
183,Tapa,EE,59.2606,25.9586,42.91,88,100,4.92,overcast clouds
184,Road Town,VG,18.4167,-64.6167,82.49,83,40,11.5,scattered clouds
185,Bafra,TR,41.5678,35.9069,50.83,75,36,4.45,scattered clouds
186,San Cristobal,VE,7.7669,-72.225,75.38,96,99,1.81,overcast clouds
187,Juneau,US,58.3019,-134.4197,46.22,84,86,3.8,light rain
188,Lumsden,CA,50.6501,-104.8678,50.0,38,100,2.8,overcast clouds
189,Mehamn,NO,71.0357,27.8492,33.75,93,100,12.66,light rain
190,Yar-Sale,RU,66.8333,70.8333,30.2,95,100,6.42,overcast clouds
191,Karratha,AU,-20.7377,116.8463,78.1,44,0,15.14,clear sky
192,Delijan,IR,33.9905,50.6838,64.38,23,0,2.82,clear sky
193,Dakar,SN,14.6937,-17.4441,79.68,94,40,0.0,scattered clouds
194,Ponta Delgada,PT,37.7333,-25.6667,66.92,77,40,14.97,scattered clouds
195,Ayan,RU,56.45,138.1667,30.2,53,0,10.89,clear sky
196,Labuhan,ID,-6.8844,112.2051,80.24,76,100,3.6,light rain
197,Alofi,NU,-19.0595,-169.9187,78.69,89,97,9.22,overcast clouds
198,Qui Nhon,VN,13.7667,109.2333,76.14,85,98,6.24,overcast clouds
199,Sobolevo,RU,54.4299,31.8996,40.19,81,100,5.32,overcast clouds
200,Lahaina,US,20.8783,-156.6825,93.2,75,1,4.9,clear sky
201,Chapais,CA,49.7834,-74.8492,42.58,71,100,15.75,overcast clouds
202,Constitucion,CL,-35.3333,-72.4167,52.2,77,1,13.0,clear sky
203,Ilulissat,GL,69.2167,-51.1,42.82,65,75,10.36,broken clouds
204,Keuruu,FI,62.2667,24.7,41.81,90,89,4.59,overcast clouds
205,Tierra Colorada,MX,17.1667,-99.5833,74.84,97,97,1.03,light rain
206,Buraydah,SA,26.326,43.975,68.45,15,0,9.48,clear sky
207,Muromtsevo,RU,56.3724,75.2418,44.11,90,100,6.06,overcast clouds
208,Hvizd,UA,48.6852,24.5506,47.3,44,100,3.91,overcast clouds
209,Calera,US,33.1029,-86.7536,68.29,47,0,3.44,clear sky
210,Batsfjord,NO,70.6345,29.7185,33.73,93,100,21.85,overcast clouds
211,Carutapera,BR,-1.195,-46.02,79.0,83,59,7.67,broken clouds
212,Meulaboh,ID,4.1363,96.1285,75.27,85,98,3.51,moderate rain
213,Ampanihy,MG,-24.7,44.75,69.33,89,10,5.64,clear sky
214,Richards Bay,ZA,-28.783,32.0377,69.75,94,33,1.23,scattered clouds
215,Cap Malheureux,MU,-19.9842,57.6142,72.46,79,71,5.01,broken clouds
216,Yaan,NG,7.3833,8.5667,73.02,92,79,3.62,broken clouds
217,Baykit,RU,61.67,96.37,32.81,94,100,3.85,overcast clouds
218,Shostka,UA,51.863,33.4698,37.56,87,100,5.39,overcast clouds
219,Pisco,PE,-13.7,-76.2167,62.65,77,0,13.8,clear sky
220,Ancud,CL,-41.8697,-73.8203,45.59,79,1,2.84,clear sky
221,Lagoa,PT,39.05,-27.9833,64.35,65,100,28.32,overcast clouds
222,Codrington,AU,-38.2667,141.9667,61.61,81,96,10.4,overcast clouds
223,Akyab,MM,20.15,92.9,77.76,85,99,6.51,overcast clouds
224,Turukhansk,RU,65.8167,87.9833,33.78,97,100,18.16,light snow
225,Antalaha,MG,-14.9003,50.2788,66.16,83,42,5.84,scattered clouds
226,Upata,VE,8.0086,-62.3989,79.2,90,85,4.52,overcast clouds
227,Lagdo,CM,9.05,13.7333,74.5,82,82,3.27,light rain
228,Pangnirtung,CA,66.1451,-65.7125,31.8,94,100,9.01,light snow
229,Saint Anthony,US,45.0205,-93.218,60.93,50,60,3.67,broken clouds
230,Tura,IN,25.5198,90.2201,66.85,81,0,5.12,clear sky
231,Cedar City,US,37.6775,-113.0619,64.4,23,0,11.36,clear sky
232,Maniitsoq,GL,65.4167,-52.9,37.2,97,100,23.49,light rain
233,Pevek,RU,69.7008,170.3133,20.55,97,98,1.34,overcast clouds
234,Blackfoot,US,43.1905,-112.345,68.05,22,50,15.32,scattered clouds
235,La Libertad,EC,-2.2333,-80.9,71.26,78,100,10.36,overcast clouds
236,Tasiilaq,GL,65.6145,-37.6368,27.45,94,100,5.41,overcast clouds
237,Kasulu,TZ,-4.5767,30.1025,69.26,64,90,2.28,overcast clouds
238,Kathmandu,NP,27.7167,85.3167,57.42,88,20,2.3,few clouds
239,Caceres,ES,39.522,-6.3748,59.05,93,100,7.67,overcast clouds
240,Dunda,TZ,-8.1167,34.25,66.15,57,63,1.41,broken clouds
241,Rangoon,MM,16.8053,96.1561,78.76,94,75,4.61,broken clouds
242,Sibu,MY,2.3,111.8167,75.51,94,40,3.44,scattered clouds
243,Lompoc,US,34.6391,-120.4579,75.02,81,100,11.5,mist
244,Oyek,RU,52.5861,104.4556,32.38,90,64,3.85,broken clouds
245,Tateyama,JP,34.9833,139.8667,71.1,65,100,17.98,overcast clouds
246,Coquimbo,CL,-29.9533,-71.3436,56.93,88,75,5.75,broken clouds
247,Santa Fe,AR,-31.6333,-60.7,69.94,82,0,5.08,light rain
248,Vizinga,RU,61.0749,50.1031,30.87,83,95,9.55,overcast clouds
249,Virginia Beach,US,36.8529,-75.978,60.03,74,0,3.44,clear sky
250,Agadez,NE,19.75,10.25,70.25,29,2,11.65,clear sky
251,Baruun-Urt,MN,46.6806,113.2792,29.32,85,8,10.69,clear sky
252,Saint-Joseph,RE,-21.3667,55.6167,68.38,79,25,7.99,scattered clouds
253,Ocu,JP,35.0044,135.8683,66.04,82,97,2.3,overcast clouds
254,Guerrero Negro,MX,27.9769,-114.0611,74.86,61,12,12.39,few clouds
255,Roros,NO,62.5747,11.3842,21.04,93,100,0.0,overcast clouds
256,Half Moon Bay,US,37.4636,-122.4286,71.53,76,100,4.61,mist
257,Eureka,US,40.8021,-124.1637,67.68,81,87,3.0,overcast clouds
258,Reshetylivka,UA,49.565,34.0782,38.39,65,58,4.5,broken clouds
259,Portadown,GB,54.4241,-6.4412,56.98,96,95,7.27,moderate rain
260,Airai,TL,-8.9266,125.4092,72.18,55,89,0.49,overcast clouds
261,Staryy Nadym,RU,65.6118,72.6842,30.02,89,93,13.51,overcast clouds
262,Leningradskiy,RU,69.3833,178.4167,29.23,98,99,4.52,light snow
263,Namibe,AO,-15.1961,12.1522,66.81,87,28,6.2,scattered clouds
264,Bethel,US,41.3712,-73.414,54.48,65,0,0.0,clear sky
265,Laguna,US,38.421,-121.4238,87.01,36,0,8.05,clear sky
266,Kungurtug,RU,50.5994,97.5228,28.35,81,46,1.79,scattered clouds
267,Bilma,NE,18.6853,12.9164,73.8,23,0,9.78,clear sky
268,Luba,GQ,3.4568,8.5547,76.89,86,73,3.36,moderate rain
269,Miraflores,MX,19.2167,-98.8083,67.87,88,100,3.49,light rain
270,Tete,MZ,-16.1564,33.5867,84.29,51,20,8.05,few clouds
271,Bambous Virieux,MU,-20.3428,57.7575,72.21,88,40,5.75,light rain
272,Moindou,NC,-21.6924,165.677,78.85,57,100,6.35,overcast clouds
273,Rio Gallegos,AR,-51.6226,-69.2181,53.65,30,0,14.97,clear sky
274,Vardo,NO,70.3705,31.1107,33.78,86,100,9.22,overcast clouds
275,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,87,80,19.55,broken clouds
276,Samarai,PG,-10.6167,150.6667,84.87,71,15,7.74,few clouds
277,Kuching,MY,1.55,110.3333,75.42,100,20,1.01,few clouds
278,San Angelo,US,31.4638,-100.437,80.94,34,0,7.0,clear sky
279,Olinda,BR,-8.0089,-34.8553,80.33,69,75,5.75,broken clouds
280,Touho,NC,-20.7833,165.2333,74.93,74,100,20.42,overcast clouds
281,Kahului,US,20.8947,-156.47,85.84,75,3,7.0,clear sky
282,Saldanha,ZA,-33.0117,17.9442,59.61,76,15,17.85,few clouds
283,Mackay,AU,-21.15,149.2,82.69,64,0,3.62,clear sky
284,Nalut,LY,30.3333,10.85,64.9,49,0,8.16,clear sky
285,Marrakesh,MA,31.6315,-8.0083,73.47,38,0,3.44,clear sky
286,Oranjemund,NA,-28.55,16.4333,58.03,89,10,12.64,clear sky
287,Barcarena,BR,-1.5058,-48.6258,82.45,84,61,9.84,broken clouds
288,Vilyuysk,RU,63.7553,121.6247,15.46,97,95,4.76,overcast clouds
289,Rosetown,CA,51.5501,-108.0014,49.98,43,68,10.36,broken clouds
290,Bodden Town,KY,19.2833,-81.25,80.6,83,75,3.44,broken clouds
291,Rio Branco Do Sul,BR,-25.19,-49.3142,68.07,98,33,1.48,scattered clouds
