City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
287,Barcarena,BR,82.45,broken clouds,-1.5058,-48.6258,Dos Santos Hotel
290,Bodden Town,KY,80.6,broken clouds,19.2833,-81.25,Will T Place
291,Rio Branco Do Sul,BR,68.07,scattered clouds,-25.19,-49.3142,DR Hotel Rio Branco do Sul
292,Quepos,CR,77.45,broken clouds,9.4236,-84.1652,Jungle Beach Hotel at Manuel Antonio
293,Para De Minas,BR,70.45,overcast clouds,-19.8603,-44.6083,Suntory Business Hotel
294,Gangapur,IN,71.55,clear sky,26.4833,76.7167,OYO 45271 Hotel Haveli
296,Launceston,AU,67.64,light rain,-41.45,147.1667,Hotel Grand Chancellor Launceston
298,Monrovia,LR,76.77,light rain,6.3005,-10.7969,Sunset Inn
303,Bagotville,AU,68.85,moderate rain,-28.9833,153.4167,Broadwater Sunrise Caravan Park
304,Ranong,TH,75.13,light rain,9.9658,98.6348,Numsai Khaosuay Resort Ranong
307,Flinders,AU,74.05,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
309,Nkhotakota,MW,75.79,scattered clouds,-12.9274,34.2961,Sitima Inn
311,Jalu,LY,67.19,clear sky,29.0331,21.5482,صاحبة الفخامة
313,Saint-Paul,RE,71.69,few clouds,-21.0096,55.2707,Boucan Canot
315,Kununurra,AU,96.37,few clouds,-15.7667,128.7333,Hotel Kununurra
316,Winnemucca,US,71.82,broken clouds,40.973,-117.7357,Winners Inn Casino
317,Saint-Pierre,RE,69.91,clear sky,-21.3393,55.4781,Alize Plage
318,Salinopolis,BR,81.19,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
320,Dromolaxia,CY,67.71,clear sky,34.8761,33.586,Sea N Lake View Hotel Apartments
321,Lazaro Cardenas,MX,73.85,moderate rain,17.9583,-102.2,HOTEL QUINTA ANTIGUA
322,Gusau,NG,76.19,overcast clouds,12.1628,6.6614,GUEST INN
323,Miri,MY,78.04,broken clouds,4.4148,114.0089,"Mega Hotel, Miri"
324,Saint-Georges,GD,80.51,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
330,Acapulco,MX,78.08,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
331,Faanui,PF,79.74,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
333,Port Blair,IN,79.68,moderate rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
337,Zabid,YE,82.98,clear sky,14.1951,43.3152,مغرب التريبه
340,Barmer,IN,75.56,clear sky,25.75,71.3833,Jain Dharamshala
